"pingevaba","vaikne","salatseja","vastutustundetu","ettevaatlik","hooletu","h_irimatu","eraldihoidev","j_rjekindlusetu","loid","p_simatu","enesekindel","seltskondlik","korralik","muretu","kartlik","vanus"
6,2,2,1,2,2,5,1,2,1,1,6,6,4,3,2,44
4,3,3,1,3,2,4,2,2,3,2,5,6,6,2,3,53
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
4,1,3,1,6,1,4,1,1,2,3,6,6,6,1,3,36
4,4,1,1,4,2,4,2,2,3,2,4,5,5,2,3,48
3,4,1,1,4,2,2,3,1,1,3,4,5,5,2,3,38
3,4,4,2,2,3,3,3,2,3,4,3,3,2,1,5,61
3,4,3,2,3,2,3,2,3,3,3,3,4,4,3,3,42
5,2,3,2,3,4,4,2,4,3,4,4,5,3,5,3,40
4,5,3,2,4,3,3,3,2,3,6,3,3,4,3,4,69
5,3,2,1,4,2,4,3,2,2,2,4,4,4,3,3,55
3,6,3,1,3,1,4,3,1,1,1,5,4,6,1,3,48
3,3,3,2,6,3,5,3,3,4,3,3,3,4,2,5,56
4,2,3,3,5,4,4,2,3,3,3,3,5,4,2,3,39
4,2,3,2,4,3,4,1,3,2,3,4,5,4,2,3,53
5,3,2,1,3,2,5,2,2,1,1,5,5,5,3,2,46
5,3,2,1,5,3,5,3,4,3,3,4,5,4,1,3,63
4,4,3,3,4,3,4,2,4,2,4,4,4,4,4,4,38
1,6,1,1,1,2,3,1,1,2,2,6,6,2,1,1,46
4,1,1,3,2,4,5,1,2,1,4,5,6,3,4,3,37
1,1,1,6,1,5,3,2,6,5,6,1,1,1,1,4,35
NA,3,1,5,2,2,3,4,3,4,4,4,4,5,4,3,45
2,2,2,3,4,4,3,3,3,4,4,4,5,4,3,4,42
2,1,2,3,3,4,2,1,4,2,5,5,6,3,1,3,52
4,3,2,3,5,4,3,3,3,3,3,3,4,3,3,3,36
2,5,4,3,4,4,3,4,5,4,4,3,2,4,3,4,45
4,4,3,2,4,3,5,3,3,3,3,4,3,4,4,3,39
2,3,2,2,3,2,3,2,2,3,5,3,4,4,2,2,54
5,4,2,2,3,3,5,4,2,4,2,5,4,5,5,2,63
4,2,3,2,4,3,5,2,2,2,2,6,5,5,5,3,54
4,3,5,3,4,3,4,4,3,3,3,4,4,5,5,2,39
4,4,2,2,6,4,2,3,4,3,4,4,4,3,2,4,57
3,3,3,2,4,3,5,3,2,3,2,5,4,3,3,3,63
5,4,6,5,2,4,4,2,5,5,5,5,5,3,5,3,29
3,2,2,2,2,2,4,1,2,2,2,5,5,5,3,2,46
4,3,3,2,3,3,4,3,3,3,3,3,4,4,2,3,40
3,3,4,3,2,4,3,2,4,3,3,3,4,3,3,4,43
5,1,1,2,2,3,3,1,4,1,4,4,6,4,2,3,35
3,3,3,2,2,3,4,3,3,2,2,3,3,4,3,3,39
3,5,1,1,5,2,5,5,2,3,2,2,2,5,3,2,45
3,3,3,2,4,2,3,2,2,2,3,3,5,5,3,3,52
6,3,3,3,6,6,6,6,3,3,6,3,6,3,6,3,56
3,2,2,3,2,5,2,1,3,3,3,3,5,3,1,4,50
2,3,2,4,4,4,3,6,4,5,4,3,2,4,3,4,53
NA,4,2,1,3,2,4,1,1,1,1,4,4,4,1,2,45
3,3,1,1,6,3,1,1,2,3,1,2,2,6,1,2,35
4,3,2,1,3,1,3,3,2,2,2,5,4,6,3,2,26
4,3,1,1,6,2,4,1,2,1,2,5,6,6,2,2,55
2,6,3,2,5,3,3,5,3,5,4,2,2,4,2,5,45
2,4,4,2,1,2,3,3,1,1,3,3,2,4,2,3,34
5,3,3,3,3,2,5,3,1,3,6,5,6,4,5,3,55
2,6,3,1,1,6,4,3,3,6,6,4,4,4,6,6,41
5,3,5,3,1,5,2,1,4,1,4,2,6,1,2,1,21
3,3,3,2,2,2,4,3,2,2,2,5,4,5,3,2,49
4,3,3,2,1,2,4,3,2,2,3,4,5,4,4,3,40
3,3,2,1,2,3,5,3,2,2,2,3,4,3,5,3,24
3,4,2,2,4,3,2,3,3,3,4,NA,3,3,2,4,45
3,3,1,3,2,2,3,2,3,2,4,3,4,3,3,3,64
3,2,5,2,3,2,3,3,2,3,2,2,3,4,2,3,58
4,3,2,1,4,2,4,2,1,2,2,3,5,6,4,4,48
3,2,3,4,5,4,4,5,3,4,4,4,2,5,3,4,51
4,3,1,1,5,1,4,3,2,3,2,5,4,6,2,2,62
5,4,3,3,2,3,4,3,2,3,4,3,4,4,2,3,64
3,5,4,3,5,3,4,5,3,4,3,3,2,4,3,4,49
2,3,3,3,5,3,6,3,3,3,3,3,5,6,2,4,48
1,5,1,1,6,1,2,3,1,2,1,6,6,6,2,2,58
1,2,1,1,6,3,4,6,2,2,1,3,3,5,1,1,43
2,3,3,2,4,3,3,3,3,4,3,4,4,4,2,3,37
4,3,3,3,1,3,4,3,3,3,4,4,5,4,3,3,32
4,3,3,1,1,2,5,1,2,1,4,4,6,5,2,2,33
4,3,3,2,2,3,5,2,2,3,4,4,5,4,2,4,54
5,3,3,1,2,1,5,2,1,1,1,6,5,6,2,2,53
2,2,2,2,4,2,4,2,4,3,5,1,5,5,2,4,63
1,1,1,1,6,1,1,1,1,1,1,6,6,6,1,6,39
1,6,3,2,6,3,3,3,3,4,3,3,3,4,1,4,46
3,2,1,3,1,4,4,1,4,2,5,3,6,3,3,1,53
5,2,1,1,4,3,4,3,2,3,2,5,5,4,4,3,38
2,1,3,3,5,3,5,5,1,2,5,5,2,5,1,5,67
2,4,3,2,5,3,4,4,3,3,3,2,2,4,2,4,56
3,4,3,2,4,3,3,4,3,4,3,3,3,3,2,4,34
4,5,1,1,6,1,5,1,1,2,2,6,6,6,2,2,47
6,6,6,3,3,3,3,3,6,3,6,3,3,6,3,3,32
3,1,2,2,2,2,4,2,3,2,5,4,6,6,3,2,64
1,4,2,3,2,3,3,2,2,1,2,2,5,4,2,2,62
2,2,2,1,3,2,2,2,4,1,4,1,5,5,2,4,42
3,1,2,3,4,2,4,6,5,3,3,3,2,1,2,4,31
5,1,3,2,5,1,3,2,3,1,3,5,5,6,2,3,55
3,2,1,2,3,2,3,2,2,1,1,4,5,6,3,3,46
3,2,1,1,5,1,3,1,2,1,3,5,5,6,3,3,46
3,2,2,2,4,2,3,1,3,1,3,5,6,6,3,3,44
3,4,4,2,4,2,5,2,2,2,2,5,5,5,4,2,58
2,2,4,1,4,2,4,3,2,3,2,4,5,5,2,3,52
1,1,3,1,1,2,4,2,3,3,4,4,5,6,2,3,58
3,2,2,2,3,2,3,2,5,3,6,2,5,6,2,4,45
3,3,4,3,3,4,3,3,3,3,4,3,4,4,3,4,44
4,1,2,5,1,6,5,1,5,4,6,1,1,1,3,2,40
6,1,3,1,3,1,6,1,1,4,6,5,6,6,2,3,52
3,4,5,1,2,4,3,4,1,1,1,1,2,4,2,4,30
2,2,3,3,1,3,4,1,4,1,6,5,6,3,3,2,35
5,3,2,4,3,3,3,3,3,3,4,3,4,3,3,4,39
4,3,2,4,4,5,3,3,5,2,6,4,5,3,2,2,55
4,3,2,4,2,4,5,2,3,2,2,5,5,2,5,2,43
4,6,1,6,4,5,6,6,4,5,4,5,3,3,6,3,44
6,3,3,2,5,2,4,2,4,3,4,4,5,5,3,3,33
2,2,2,6,1,5,4,1,5,2,6,1,5,2,5,3,34
1,4,3,3,4,3,3,4,3,3,4,3,3,4,3,4,57
2,3,5,3,2,4,6,4,4,4,2,4,2,6,5,5,48
3,5,6,5,2,5,4,6,5,5,5,3,2,5,3,4,34
3,2,4,3,1,4,4,2,4,2,4,4,6,3,4,2,41
3,5,6,3,1,4,6,5,3,5,3,2,3,1,1,2,52
2,4,2,2,4,3,3,2,3,4,3,2,3,3,2,4,30
4,3,1,2,4,1,4,2,1,1,2,5,4,5,3,3,46
6,1,5,1,1,2,5,1,1,1,1,6,6,6,5,2,41
5,2,3,2,4,2,3,2,2,1,2,5,5,5,3,3,49
4,2,3,3,2,3,5,2,3,3,4,5,5,5,5,2,41
4,4,2,3,3,3,4,5,2,3,3,3,4,4,3,1,47
5,1,1,1,3,1,6,1,1,1,3,3,6,6,4,2,40
4,4,2,1,3,2,4,2,3,3,3,3,3,4,3,3,41
5,2,2,3,2,4,4,2,3,2,4,5,5,4,5,2,47
3,2,3,2,4,3,3,3,4,3,4,2,3,4,2,5,34
4,4,3,1,4,2,5,3,2,3,2,5,4,6,3,2,73
3,1,2,1,1,2,4,2,1,1,1,6,5,4,3,1,52
3,5,4,1,5,2,3,5,2,4,2,3,3,5,2,4,50
5,4,4,1,4,2,5,4,1,2,1,5,4,5,4,2,41
4,3,3,2,4,2,4,3,3,3,3,4,4,6,4,3,51
4,5,3,1,4,1,3,4,4,2,3,4,3,6,1,4,58
3,5,4,2,5,2,4,4,2,3,2,3,3,5,3,4,42
4,3,2,2,3,3,4,3,2,4,2,3,4,4,2,3,35
3,2,1,2,2,4,5,1,3,2,3,5,5,4,4,2,42
2,2,2,2,5,2,2,3,3,2,2,2,2,5,2,5,45
3,4,3,2,4,2,3,4,3,4,3,3,3,5,3,4,62
3,4,3,2,4,3,2,4,3,3,3,3,3,4,1,4,40
4,2,3,2,3,3,4,2,3,3,2,5,5,4,3,3,37
4,3,2,3,2,3,3,2,3,3,3,3,3,4,3,3,43
5,1,1,2,2,2,4,1,2,2,2,5,6,5,4,3,48
5,2,4,3,2,3,5,2,3,4,4,5,5,3,4,3,29
4,2,3,1,3,2,5,1,1,2,1,5,6,5,3,1,45
2,3,3,2,2,3,4,3,3,2,3,4,4,5,3,3,52
4,4,3,3,3,4,4,4,3,3,3,4,3,3,3,3,42
3,3,2,3,2,4,3,4,4,3,3,3,3,3,3,4,40
4,1,4,1,4,1,6,1,1,1,1,6,6,6,1,1,32
2,5,2,3,4,3,2,4,4,4,5,2,2,3,3,5,36
3,3,2,1,2,3,NA,2,2,2,2,4,5,2,2,3,45
3,5,3,2,3,3,3,4,4,4,3,3,3,4,3,4,34
3,5,4,3,4,5,3,5,3,4,3,4,2,3,3,4,51
5,2,1,4,2,4,4,1,4,2,4,4,6,3,5,3,36
5,1,1,4,1,4,5,1,4,1,4,5,6,4,5,2,44
2,3,3,2,2,3,4,2,4,3,3,3,3,4,4,2,53
5,3,2,3,1,3,5,2,3,2,4,4,4,4,4,2,44
3,6,2,6,3,5,2,3,6,5,6,1,2,1,1,4,47
5,3,2,3,1,3,5,2,3,2,4,4,4,4,4,2,42
4,3,3,2,4,2,4,3,3,3,3,4,4,6,4,3,58
3,4,4,2,4,2,4,3,4,3,4,3,4,5,3,3,36
5,3,2,2,2,2,4,1,2,2,4,5,5,5,1,2,47
4,2,1,2,4,3,5,1,2,4,3,5,6,4,3,2,52
2,5,3,2,4,2,4,3,2,4,3,2,3,5,2,3,37
6,1,1,1,4,2,6,1,2,1,2,6,6,4,2,1,53
4,5,4,4,4,4,4,4,3,3,4,3,3,3,4,3,31
3,5,3,2,4,3,3,4,2,3,3,4,2,4,2,4,33
