Sünniaasta;SUGU;KAAL;PIKKUS
1980;0;55;168
1983;0;51;160
1985;0;52;172
1986;0;80;171
1986;0;95;178
1986;0;76;164
1986;0;75;179
1986;1;100;200
1987;0;82;168
1987;0;65;171
1987;0;74;176
1987;0;66;171
1987;0;107;175
1987;0;52;161
1987;1;80;185
1987;1;65;168
1988;0;64;177
1988;0;71;183
1988;0;72;172
1988;0;48;177
1988;0;57;170
1988;0;64;162
1988;0;63;169
1988;0;59;172
1988;0;70;180
1988;1;65;180
1989;0;48;172
1989;0;55;168
1989;0;64;166
1989;0;68;175
1989;0;108;169
1989;0;58;165
1989;0;58;163
1989;0;50;169
1989;0;52;156
1989;0;58;174
1989;0;53;168
1989;0;55;170
1989;0;65;165
1989;0;63;169
1989;1;72;183
1989;1;73;177
1989;1;54;174
1989;1;76;170
1990;0;67;186
1990;0;61;178
1990;0;56;168
1990;0;74;175
1990;0;50;167
1990;0;61;165
1990;0;55;175
1990;0;50;164
1990;0;57;168
1990;0;49;156
1990;0;58;172
1990;0;72;179
1990;0;52;167
1990;0;62;170
1990;0;56;166
1990;0;95;173
1990;0;57;168
1990;0;52;161
1990;0;65;179
1990;0;55;167
1990;0;63;180
1990;0;55;171
1990;0;69;180
1990;0;65;172
1990;0;49;160
1990;0;62;177
1990;1;85;188
1990;1;75;188
1990;1;83;190
1990;1;70;180
1990;1;87;190
